"","score","review"
"154","1","기억나는게따따따따따따따따따밖에..영화내용주인공은백수다어떤인간이회사잘렸다고유독가스퍼트렸다그로인해맡자마자바로화상에호흡곤란까지생기는사람이대량으로발생한다살려고벽타고옥상올라가서구조를기다린다(목숨걸고벽타고올라왔는데가족들은구경잼하다가옥상가는거성공했는데오히려미쳤냐고만반복한다칭찬따위없다...)구조왔는데인간들이돼지라서주인공과여주인지뭔지인간만남는데어째저째벽타고가다가구조가또오는데학원있는애들살려준다(얘네도고맙다는말따위도없어ㅋ)그러다가다른건물또벽타고옥상가려는거드론한테포착된다그래서구경하려고여러드론이온다그리고다른드론이줄타는거도와주는데죽을뻔했다(뭐주인공버프로안죽음게다가12세라서ㅋ)그러다가방송보고방송빨로구조오는데구조오고병원도착한다고백그딴거없이떡밥남기고튄다.-끝-"
"155","10","보는내내내머리부터발끝까지찬공기가솔솔부는듯했다.끝에남주여주둘이확실한러브라인이없어서밋밋했다.영화보고분명히건물외벽타는실험충들이생길것같다."
"156","10","짠내폭발청년백수,전대미문의진짜재난을만나다!"
"157","1","이런영화가상영관장악하고흥행을하니한국영화가발전이없는거야"
"158","7",""
"159","10","재밌게잘바써요"
"160","9","재밌게봤어요"
"161","6","초반에잠깐웃겼다망할신파"
"162","10","배우분들연기력하고전체적으로아주자알봤습니다저런망할xx그런거신경쓰지마시고앞으로쭈욱가십셩참예쁩니다."
"163","8",""
"164","1","따따따따따따따따따따전체적으로아동영화같음맨날뛰어만다녀서노잽"
"165","0","본질에비해홍보가잘되고배우덕본영화.극한집업처럼ㅎ그러나그다지..."
"166","5","웃은적없음"
"167","10","처음에주인공이100水라서취업성공기영화인것처럼보였으나...포스터처럼신선도100%재난영화!재밌게봤어요"
"168","4","외유내강식액션단순한상황설정과캐릭터성격만부여하고그까이꺼대충리암니슨도울고갈논스톱모험극짝패재난버전"
"169","10",""
"170","7","좀엉성한내용이지만그냥저냥그럭저럭볼만한영화"
"171","10","조정석하나만보고기대안하고봤는데너무재밌네요.조정석컨벤션홀옥상올라가는씬..고소공포증있는난보는것만으로도소름이..너무신선하고둘다연기도잘하고.."
"172","8",""
"173","6","관대한맘으로가볍게본다면그럭저럭..윤아욕하는거귀엽.."
"174","6","코미디스럽지않고나름평타는되어보입니다.근다연기가그만큼나는데건물에스프링쿨러가왜하나도작동을안했을까??ㅎㅎ"
"175","10","재미만있구만~~~배우들스텝들다흥해라~~!!!"
"176","0","왜?이런영화를만들까?"
"177","10",""
"178","0","18"
"179","2","기대이하..너무재미없네요"
"180","6","웃기지않는코미디,모든상황에어울리지않는여주,조금더정교했으면하는아쉬운등반씬들.그러나꽤긴장감이있어서볼만했다"
"181","5","그냥저냥보고있다가윰댕대도나오는거보고확깨짐"
"182","1","이게?이게9백만?....대한민국에시간이남아돌고만원걍길에뿌리는국민들이9백만이라...세계최고부자나라냐?"
"183","1","참나이런.4류영화.."
"184","9","잼있게잘봤습니다기대이상입니다"
"185","8","조마조마"
"186","8","가볍고재미있게볼수있는재난코미디영화"
"187","1",""
"188","9","우리예쁜윤아한테왜이리처절하고절박한끔찍한생존위기에처한무서운역활을맡겼어!!!!ㅠ.ㅠ저렇게엄청나고무시무시한재난현장에서탈출하기위해이리뛰고저리뛰는연기를저렇게훌륭하고소화해내는윤아를보고정말가슴이찡하더라!!!"
"189","9","윤아야너무너무사랑해!!!!!"
"190","8","와우타워이후로진짜오랜만에숨죽이며손에땀을쥐며본재난스릴러영화였다.이런명작의영화를우리윤아가주연으로출연해서큰호평을받고거기다엄청난흥행대박까지터뜨리다니정말너무너무대견하고자랑스럽고뿌뜻하구나!!!!!"
"191","6",""
"192","1","이런걸영화라고...."
"193","0",""
"194","6","의외의수작..타짜3먼저보고이거보면세기의명작소리도할수있슴.."
"195","10","재밌게봤어요~ㅋㅋㅋ우는모습넘귀엽"
"196","3","위기탈출넘버원이그리워지는순간"
"197","1","이런게영화라고?"
"198","10","난재밌게봤는데평점이왜이럼?"
"199","1","스토리전개가너무어설프다"
"200","2","드라마를극장에서본기분?...."
