"","comicName","comicSummary","comicGrade"
"314","동글앤토실","18년 묵은 커플","9.88"
"315","50m","오십미터","9.54"
"316","몽글이","멍멍이가 학교가","9.74"
"317","오늘도사랑하세요","인싸 큐피드 되기!","9.90"
"318","달란트","장애인의 초능력..","9.90"
"319","월국(月國)의프락세이스","소년과 세계,스피릿","9.69"
"320","옆집에그녀가산다","옆집의 특별한그녀!","9.67"
"321","라면순대","30대의 웃긴 일상","9.73"
"322","스파이키리스키","싱가폴 생활기","9.88"
"323","중독연구소","우리의 중독 이야기","9.58"
"324","PI(파이)","주라의 신화 이야기","9.75"
"325","하나(하루)","하나를 만났다.","9.74"
"326","스푸키멜로디","악몽 동화 이야기","9.88"
"327","주작작주주작","영짐승 배틀물","9.62"
"328","양지리정신병원","정신병원에 갇히다","9.29"
"329","여긴어디","칭다오 일상툰","9.93"
"330","아틀레냐비바체","중단","9.86"
"331","도원향","우주경찰서 도원향","9.89"
"332","매일집밥한그릇","셀프요리툰","9.89"
"333","나의작은여우별","소원의 여우별","9.93"
"334","그녀의버킷리스트","죽기위해 이뤄가는","9.87"
"335","로어스쿨","액션 소년만화","9.89"
"336","나눠먹는로맨스","음식&로맨스","9.72"
"337","혼자앤피스","인생은 혼자","9.79"
"338","함께할때까지","바카랑호두랑도마뱀","9.63"
"339","비김어게인IN한국[캐나다에도산다시즌2]","여여커플 일상툰","9.74"
"340","무지개다리파수꾼","동물의 말이 들린다","9.74"
"341","다르디움","기계와 마법의 세계","9.87"
"342","안녕외교국","SF 감성 판타지","9.54"
"343","마법사와왕자님","로맨스 판타지","9.86"
"344","이웃집기린씨!","개그힐링만화","9.91"
"345","SSAW","네 개의 계절","9.72"
"346","꼬맹이를부탁해!","꼬맹이와의 일상!","9.92"
"347","사막화花","본격 식물 판타지","9.69"
"348","일요극장","아마도 일상 판타지","9.76"
"349","수상한가족협정","우리가 누구게?","9.90"
"350","투마로홈","매일 다른곳?","9.18"
"351","부부사기단늬우스","수요일 연재","9.82"
"352","요조신사마초숙녀","힐링로맨스목요일연재","9.75"
"353","밀웜","밀웜같은 아이","9.59"
"354","씨름","씨름 뒤집기 한판!","9.01"
"355","앨리스를위하여","새로운앨리스이야기","9.87"
"356","같이꽃길걸을까요?","군화곰신커플 일상툰","9.68"
"357","드래곤메이커","용키우는만화","9.90"
"358","인비트윈","판타지액션,자유연재","9.51"
"359","벽(로그아웃)","미스터리 SF 단편","9.82"
"360","숙천","단 한 번뿐인 생.","9.75"
"361","오묘한가족","오묘한가족의 이야기","9.89"
"362","뼈의시간","병원 미스테리호러","9.78"
"363","철수이야기","함께여서 난 좋았어","9.91"
"364","시나브로너에게","환상세계가 펼쳐진다","9.66"
"365","비행소년","나의 첫 친구들","9.91"
"366","소울","코믹액션 더하기 환타지","8.95"
